timestamp,omega_x,omega_y,omega_z,alpha_x,alpha_y,alpha_z
607743748224773,0.0946236,0.083581,-0.0443702,-2.63849,8.35123,4.40068
607743752227439,0.108063,0.0841919,-0.0565875,-2.65046,8.34405,4.38631
607743756230105,0.12028,0.0597573,-0.0626962,-2.7199,8.33686,4.38631
607743760232805,0.12761,0.0322683,-0.0639179,-2.81806,8.34884,4.39589
607743764235471,0.133719,-0.00499443,-0.0749135,-2.86834,8.33208,4.38631
607743768238171,0.139828,-0.056918,-0.0804112,-2.88989,8.30813,4.37673
607743772240837,0.137995,-0.0941808,-0.0883525,-2.92102,8.2794,4.30251
607743776243503,0.136773,-0.124113,-0.0828547,-2.91623,8.26504,4.21632
607743780246169,0.132497,-0.146104,-0.0810221,-2.94496,8.22912,4.1421
607743784248869,0.122723,-0.154046,-0.0761352,-2.92102,8.21236,4.10379
607743788251569,0.119058,-0.150991,-0.063307,-2.92102,8.198,4.01999
607743792254235,0.114782,-0.147937,-0.0492571,-2.95454,8.20997,3.9745
607743796256901,0.101954,-0.150991,-0.0345964,-2.94256,8.21955,3.95295
607743800259601,0.0921802,-0.1571,-0.0126052,-2.9258,8.26982,3.929
607743804262334,0.0775194,-0.168706,0.00510989,-2.94496,8.29856,3.89549
607743808265000,0.0665238,-0.191308,0.0350423,-3.02157,8.36081,3.90027
607743812267700,0.05675,-0.212689,0.05459,-3.05031,8.41348,3.86675
607743816270400,0.0390349,-0.231625,0.0704725,-3.07904,8.46376,3.8476
607743820273100,0.0286502,-0.252395,0.0894093,-3.04073,8.47334,3.87154
607743824275800,0.011546,-0.278051,0.1114,-2.9713,8.45658,3.87873
607743828278533,-0.00189307,-0.293934,0.118731,-2.90186,8.44221,3.87873
607743832281199,-0.0177756,-0.301264,0.124229,-2.78933,8.46616,3.88351
607743836283899,-0.0330472,-0.282327,0.129726,-2.66004,8.47573,3.8883
607743840286565,-0.0409884,-0.257893,0.128505,-2.53075,8.44461,3.91464
607743844289231,-0.0458754,-0.225517,0.123007,-2.40864,8.42306,3.98647
607743848291931,-0.0446536,-0.176037,0.120563,-2.32724,8.38954,4.07506
607743852294631,-0.0513732,-0.0740222,0.11079,-2.28414,8.37996,4.07745
607743856297297,-0.0525949,-0.00438357,0.103459,-2.28414,8.37517,4.13012
607743860299930,-0.0489297,0.0499834,0.0918528,-2.28414,8.37278,4.19716
607743864302663,-0.047708,0.104961,0.081468,-2.32724,8.32968,4.17083
607743868305329,-0.0446536,0.131229,0.081468,-2.43019,8.31292,4.19956
607743872308029,-0.0361015,0.134283,0.0716942,-2.51159,8.32729,4.23547
607743876310695,-0.0324363,0.1184,0.0704725,-2.62173,8.32489,4.27857
